Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
84593,Cicero: The Life and Times of Rome's Greatest Politician,Anthony Everitt,"Everitt, Anthony",,037575895X,9780375758959,0,Random House,Paperback,364,2003,2001,,2023/08/19,to-read,to-read (#13),to-read,,,,1,0
59808227,Egypt's Golden Couple: When Akhenaten and Nefertiti Were Gods on Earth,John Darnell,"Darnell, John",Colleen Manassa Darnell,1250272874,9781250272874,0,St. Martin's Press,Hardcover,384,2022,2022,,2024/10/12,to-read,to-read (#12),to-read,,,,1,0
1211707,Mathematics for Finance: An Introduction to Financial Engineering (Springer Undergraduate Mathematics Series),Marek Capiński,"Capiński, Marek",Tomasz J. Zastawniak,1852333308,9781852333300,0,Springer,Paperback,310,2007,2003,,2024/12/13,to-read,to-read (#11),to-read,,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,0765326353,9780765326355,5.0,Tor Books,Hardcover,1007,2010,2010,2025/03/03,2025/02/09,,,read,,,,1,0
199757490,Incidents Around the House,Josh Malerman,"Malerman, Josh",,0593723120,9780593723128,3.0,Del Rey,Hardcover,367,2024,2024,2025/01/26,2025/01/25,,,read,,,,1,0
41154983,"Arabs: A 3,000-Year History of Peoples, Tribes and Empires",Tim Mackintosh-Smith,"Mackintosh-Smith, Tim",,0300180284,9780300180282,4.0,Yale University Press,Hardcover,630,2019,2019,2025/01/25,2025/01/17,,,read,,,,1,0
90557,Buddhism without Beliefs: A Contemporary Guide to Awakening,Stephen Batchelor,"Batchelor, Stephen",,1573226564,9781573226561,5.0,Riverhead Books,Paperback,127,1998,1997,2025/01/17,2025/01/16,,,read,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John  Green,"Green, John",,0525555218,9780525555216,5.0,Dutton,Hardcover,304,2021,2021,2021/12/20,2021/10/02,,,read,,,,1,0
60670063,Homo Sapiens Rediscovered: The Scientific Revolution Rewriting Our Origins (The Rediscovered Series),Paul Pettitt,"Pettitt, Paul",,0500252637,9780500252635,5.0,Thames & Hudson,Hardcover,320,2023,2023,2024/12/23,2024/12/13,,,read,,,,1,0
2985255,"Margin Trading from A to Z: A Complete Guide to Borrowing, Investing and Regulation",M.T. Curley,"Curley, M.T.",,0470173947,9780470173947,3.0,Wiley,Hardcover,187,2008,2008,2024/12/15,2024/12/13,,,read,,,,1,0
36794489,When Einstein Walked with Gödel: Excursions to the Edge of Thought,Jim Holt,"Holt, Jim",,0374146705,9780374146702,5.0,"Farrar, Straus and Giroux",Hardcover,368,2018,2018,2024/12/12,2024/12/07,,,read,,,,1,0
62347048,Ramesses the Great: Egypt's King of Kings,Toby Wilkinson,"Wilkinson, Toby",,0300256655,9780300256659,5.0,Yale University Press,Hardcover,240,2023,2023,2024/12/05,2024/12/03,,,read,,,,1,0
2246251,Early Dynastic Egypt,Toby Wilkinson,"Wilkinson, Toby",,0415186331,9780415186339,0,Routledge,Hardcover,436,1999,1999,,2024/12/03,to-read,to-read (#10),to-read,,,,0,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,0063236400,9780063236400,4.0,Ecco,Hardcover,464,2024,2017,2024/12/03,2024/11/07,,,read,,,,1,0
189311,Lucy: The Beginnings of Humankind,Donald C. Johanson,"Johanson, Donald C.",Maitland A. Edey,0671724991,9780671724993,5.0,Simon & Schuster,Paperback,416,1981,1981,2024/11/23,2024/05/29,favorites,favorites (#35),read,,,,1,0
10767816,Ghost on the Throne: The Death of Alexander the Great and the War for Crown and Empire,James Romm,"Romm, James",,0307271641,9780307271648,4.0,Alfred A. Knopf,Hardcover,341,2011,2011,2024/11/19,2024/11/14,,,read,,,,1,0
182733784,Nuclear War: A Scenario,Annie Jacobsen,"Jacobsen, Annie",,0593476093,9780593476093,5.0,Dutton,Hardcover,373,2024,2024,2024/11/04,2024/11/01,,,read,,,,1,0
87539,The Peloponnesian War,Donald Kagan,"Kagan, Donald",,0142004375,9780142004371,5.0,Penguin Books,Paperback,511,2004,2003,2024/11/01,2024/10/31,,,read,,,,1,0
53689907,Basic Writings of Kant,Immanuel Kant,"Kant, Immanuel",,,,0,,Paperback,475,,2001,,2024/10/12,to-read,to-read (#9),to-read,,,,0,0
26597310,Philosophy before the Greeks: The Pursuit of Truth in Ancient Babylonia,Marc Van de Mieroop,"Mieroop, Marc Van de",,0691157189,9780691157184,0,Oxford University Press,Hardcover,312,2015,2015,,2024/10/12,to-read,to-read (#8),to-read,,,,0,0
8358754,Brotherhood of Kings: How International Relations Shaped the Ancient Near East,Amanda H. Podany,"Podany, Amanda H.",,0195313984,9780195313987,0,Oxford University Press,Hardcover,424,2010,2010,,2024/10/12,to-read,to-read (#7),to-read,,,,0,0
62069739,When We Cease to Understand the World,Benjamín Labatut,"Labatut, Benjamín",Adrian Nathan West,,,0,New York Review Books,Kindle Edition,193,2022,2020,,2024/10/12,to-read,to-read (#6),to-read,,,,0,0
13593203,The Secrets of Alchemy (Synthesis),Lawrence M. Principe,"Principe, Lawrence M.",,0226682951,9780226682952,4.0,University of Chicago Press,Hardcover,281,2012,2012,2024/10/12,2024/10/07,,,read,,,,1,0
199026522,Middle of the Night,Riley Sager,"Sager, Riley",,0593472373,9780593472378,3.0,Dutton,Hardcover,376,2024,2024,2024/10/07,2024/10/07,,,read,,,,1,0
77265004,The Iliad,Homer,"Homer, Homer",Emily Wilson,1324001801,9781324001805,5.0,W. W. Norton & Company,Hardcover,848,2023,-750,2024/09/28,2024/02/04,,,read,,,,1,0
56233220,The World Before Us: How Science is Revealing a New Story of Our Human Origins,Tom Higham,"Higham, Tom",,,,5.0,Penguin,Kindle Edition,320,2021,2021,2024/09/28,2024/09/21,,,read,,,,1,0
12497,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,,,5.0,Knopf Doubleday Publishing Group,Paperback,309,2006,2005,2024/09/21,2023/08/12,,,read,,,,1,0
154958154,After 1177 B.C.: The Survival of Civilizations,Eric H. Cline,"Cline, Eric H.",,0691192138,9780691192130,4.0,Princeton University Press,Hardcover,352,2024,2024,2024/09/12,2024/09/04,,,read,,,,1,0
5616319,First Peoples in a New World: Colonizing Ice Age America,David J. Meltzer,"Meltzer, David J.",,0520250524,9780520250529,0,University of California Press,Hardcover,464,2009,2009,,2024/09/04,to-read,to-read (#5),to-read,,,,0,0
60215300,Indigenous Continent: The Epic Contest for North America,Pekka Hämäläinen,"Hämäläinen, Pekka",,1631496999,9781631496998,0,Liveright,Hardcover,592,2022,2022,,2024/09/04,to-read,to-read (#4),to-read,,,,0,0
61327450,Pathogenesis: A History of the World in Eight Plagues,Jonathan     Kennedy,"Kennedy, Jonathan",,0593240472,9780593240472,0,Crown,Hardcover,304,2023,2023,,2024/09/04,to-read,to-read (#3),to-read,,,,0,0
58986604,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",Steve Brusatte,"Brusatte, Steve",,0062951513,9780062951519,5.0,Mariner Books,Hardcover,528,2022,2022,2024/09/01,2024/06/02,,,read,,,,1,0
49410815,The First Ghosts: Most Ancient of Legacies,Irving Finkel,"Finkel, Irving",,,,5.0,Hodder & Stoughton,Kindle Edition,334,2021,,2024/09/01,2024/04/25,,,read,,,,1,0
43877479,Surfacing,Kathleen Jamie,"Jamie, Kathleen",,0143134450,9780143134459,4.0,Penguin Books Ltd ,Paperback,256,2019,2019,2024/06/16,2024/06/08,,,read,,,,1,0
61918856,Assyria: The Rise and Fall of the World’s First Empire,Eckart Frahm,"Frahm, Eckart",,1541674405,9781541674400,5.0,Basic Books,Hardcover,528,2023,2023,2024/06/10,2024/06/02,,,read,,,,1,0
52716713,First Steps: How Upright Walking Made Us Human,Jeremy Desilva,"Desilva, Jeremy",,0062938517,9780062938510,5.0,Harper,ebook,352,2021,2021,2024/05/29,2024/05/23,,,read,,,,1,0
53345321,Ancient Bones: Unearthing the Astonishing New Story of How We Became Human,Madelaine Böhme,"Böhme, Madelaine",,1771647515,9781771647519,4.0,Greystone Books,Hardcover,337,2020,2019,2024/05/03,2024/04/25,,,read,,,,1,0
32307358,"Origin (Robert Langdon, #5)",Dan    Brown,"Brown, Dan",,,,4.0,Doubleday ,ebook,480,2017,2017,2018/07/23,2024/04/24,,,read,"Definitely an interesting, albeit fanciful, take on AI and its potential impact on society. A fun, quick read.",,,2,0
60784372,The God of Endings,Jacqueline  Holland,"Holland, Jacqueline",,1250856760,9781250856760,4.0,Flatiron Books,Hardcover,480,2023,2023,2024/04/11,2024/04/01,,,read,,,,1,0
1363341,Watchmaking,George   Daniels,"Daniels, George",,0856674974,9780856674976,5.0,Philip Wilson Publishers,Hardcover,460,1999,1982,2018/07/23,2018/05/25,,,read,"This book really has it all. From tooling to escapement design, Daniels provides the reader with everything they need to understand the fundamentals of how a mechanical watch works.",,,1,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,,,5.0,Scribner,Hardcover,368,2017,2017,2020/01/15,2020/01/06,,,read,,,,1,0
149105520,Going Infinite: The Rise and Fall of a New Tycoon,Michael   Lewis,"Lewis, Michael",,1324074337,9781324074335,4.0,W. W. Norton & Company,Hardcover,272,2023,2023,2024/03/14,2023/12/27,,,read,,,,1,0
239239,The Prestige,Christopher Priest,"Priest, Christopher",,0312858868,9780312858865,5.0,Tom Doherty Associates Tor Books,Paperback,404,1997,1995,2024/03/03,2024/02/21,favorites,favorites (#34),read,,,,1,0
58777696,"River of the Gods: Genius, Courage and Betrayal in the Search for the Source of the Nile",Candice Millard,"Millard, Candice",,052552407X,9780525524076,4.0,Doubleday,Hardcover,349,2022,2022,2024/02/19,2023/01/24,,,read,,,,1,0
60747078,The Scythian Empire: Central Eurasia and the Birth of the Classical Age from Persia to China,Christopher I. Beckwith,"Beckwith, Christopher I.",,0691240531,9780691240534,5.0,Princeton University Press,Hardcover,416,2023,2023,2024/02/04,2024/01/19,,,read,,,,1,0
52928789,The Sediments of Time: My Lifelong Search for the Past,Meave Leakey,"Leakey, Meave",Samira Leakey,0358206677,9780358206675,5.0,Houghton Mifflin Harcourt,Hardcover,400,2020,2020,2024/01/19,2024/01/19,,,read,,,,1,0
58990314,"Weavers, Scribes, and Kings: A New History of the Ancient Near East",Amanda H. Podany,"Podany, Amanda H.",,0190059044,9780190059040,5.0,Oxford University Press,Hardcover,662,2022,2022,2023/12/27,2023/12/02,,,read,,,,1,0
60149545,Papyrus: The Invention of Books in the Ancient World,Irene Vallejo,"Vallejo, Irene",Charlotte Whittle,0593318897,9780593318898,5.0,Knopf,Hardcover,464,2022,2019,2023/11/28,2023/11/07,,,read,,,,1,0
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.","Francis Ledoux, Maria Skibniewska",0618346252,9780618346257,5.0,Houghton Mifflin Harcourt,Paperback,398,2003,1954,2018/01/23,2018/01/15,favorites,favorites (#3),read,,,,1,0
124034693,White Holes,Carlo Rovelli,"Rovelli, Carlo",,,,5.0,Riverhead Books,Hardcover,176,2023,2023,2023/11/11,2023/11/09,,,read,,,,1,0
53916158,Origin: A Genetic History of the Americas,Jennifer Raff,"Raff, Jennifer",,1538749718,9781538749715,5.0,Twelve,Hardcover,368,2022,2022,2023/11/06,2023/11/06,favorites,favorites (#33),read,,,,1,0
45303387,An Elegant Puzzle: Systems of Engineering Management,Will Larson,"Larson, Will",,1953953336,9781953953339,3.0,Stripe Press,Kindle Edition,289,2019,2019,2023/10/12,2023/08/08,,,read,,,,1,0
122858878,"Cave of Bones: A True Story of Discovery, Adventure, and Human Origins",Lee Berger,"Berger, Lee",John Hawks,1426223889,9781426223884,5.0,National Geographic,Hardcover,240,2023,,2023/08/19,2023/08/17,,,read,"There are a lot of assertions made in this book that have massive implications for the field of paleoanthropology and the story of our family tree. Huge if true. This needs a lot of rigorous peer review, but wow. I couldn't put it down.",,,1,0
30988078,Fossil Men: The Quest for the Oldest Skeleton and the Origins of Humankind,Kermit Pattison,"Pattison, Kermit",Roger Wayne,0062660039,9780062660039,4.0,William Morrow,Audiobook,16,2020,2020,2023/08/09,2023/07/31,,,read,,,,1,0
113429,No One Belongs Here More Than You,Miranda July,"July, Miranda",,0743299396,9780743299398,3.0,Scribner,Hardcover,205,2007,2007,2023/07/31,2023/07/26,,,read,,,,1,0
442239,The Republic of Pirates: Being the True and Surprising Story of the Caribbean Pirates and the Man Who Brought Them Down,Colin Woodard,"Woodard, Colin",,0151013020,9780151013029,4.0,Houghton Mifflin Harcourt,Hardcover,383,2007,2007,2023/07/29,2023/07/01,,,read,,,,1,0
37941599,"Kindred: Neanderthal Life, Love, Death and Art",Rebecca Wragg Sykes,"Sykes, Rebecca Wragg",,147293749X,9781472937490,5.0,Bloomsbury,Hardcover,400,2020,2020,2023/07/18,2023/07/01,favorites,favorites (#32),read,,,,1,0
57002292,Ancestors: A History of Britain in Seven Burials,Alice Roberts,"Roberts, Alice",,1471188019,9781471188015,5.0,Simon & Schuster,Hardcover,400,2021,2021,2023/07/01,2023/06/25,favorites,favorites (#31),read,,,,1,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,0593236599,9780593236598,5.0,Harmony,Hardcover,496,2023,2023,2023/06/24,2023/06/24,,,read,,,,1,0
28933454,The Mysterious Etruscans,Steven L. Tuck,"Tuck, Steven L.",,,,5.0,The Great Courses,Audible Audio,13,2016,2016,2023/06/21,2023/06/06,,,read,,,,1,0
2714607,The Ascent of Money: A Financial History of the World,Niall Ferguson,"Ferguson, Niall",,1594201927,9781594201929,4.0,Penguin Press,Hardcover,442,2008,2007,2023/05/02,2023/04/18,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,4.0,Tor.com,ebook,144,2017,2017,2023/05/02,2023/05/02,,,read,,,,1,0
35074096,"Mythos - The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,"Fry, Stephen",,0718188721,9780718188726,4.0,Michael Joseph,Hardcover,416,2017,2017,2023/03/14,2023/03/04,,,read,,,,1,0
7968243,Cleopatra: A Life,Stacy Schiff,"Schiff, Stacy",,0316001929,9780316001922,5.0,"Little, Brown and Company",Hardcover,369,2010,2010,2023/02/28,2023/02/14,,,read,,,,1,0
55711554,"The War That Made the Roman Empire: Antony, Cleopatra, and Octavian at Actium",Barry S. Strauss,"Strauss, Barry S.",,1982116676,9781982116675,4.0,Simon & Schuster,Hardcover,368,2022,2022,2023/02/14,2023/02/11,,,read,,,,1,0
103749,Persian Fire: The First World Empire and the Battle for the West,Tom Holland,"Holland, Tom",,0385513119,9780385513111,5.0,Doubleday,Hardcover,418,2006,2005,2023/02/11,2022/11/24,,,read,,,,1,0
50358103,Money: The True Story of a Made-Up Thing,Jacob Goldstein,"Goldstein, Jacob",,031641719X,9780316417198,5.0,Grand Central Publishing,Hardcover,272,2020,2020,2023/02/02,2023/01/24,,,read,,,,1,0
35167685,"""Surely You're Joking, Mr. Feynman!"": Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Ralph Leighton, Edward Hutchings, Bill Gates",0393355624,9780393355628,0,W. W. Norton & Company,Paperback,400,2018,1985,,2023/01/24,to-read,to-read (#2),to-read,,,,0,0
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,1933633867,9781933633862,4.0,Melville House,Hardcover,534,2011,2011,2023/01/24,2022/11/24,,,read,,,,1,0
59696349,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,1787634116,9781787634114,5.0,Bantam Press,Paperback,416,2022,,2023/01/12,2023/01/04,,,read,,,,1,0
53232138,Rome Is Burning: Nero and the Fire That Ended a Dynasty (Turning Points in Ancient History),Anthony A. Barrett,"Barrett, Anthony A.",,0691172315,9780691172316,4.0,Princeton University Press,Hardcover,348,2020,2020,2022/12/12,2022/12/12,,,read,,,,1,0
39943621,"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,"Martin, George R.R.",Doug Wheatley,152479628X,9781524796280,4.0,Random House Worlds,Hardcover,706,2018,2018,2018/12/03,2018/10/03,,,read,,,,2,0
29901930,The Fisherman,John  Langan,"Langan, John",,1939905214,9781939905215,3.0,Word Horde,Paperback,266,2016,2016,2022/11/17,2022/10/25,,,read,,,,1,0
51075444,Thebes: Narrative history reviving the forgotten glory of ancient Thebes.,Paul Cartledge,"Cartledge, Paul",,1468316060,9781468316063,4.0,Harry N. Abrams,Hardcover,336,2020,2020,2022/11/06,2022/10/25,,,read,,,,1,0
60177373,Fairy Tale,Stephen  King,"King, Stephen",,1668002175,9781668002179,5.0,Scribner,Hardcover,607,2022,2022,2022/10/25,2022/10/25,,,read,,,,1,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,0374157359,9780374157357,4.0,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,2022/10/11,2022/09/26,,,read,,,,1,0
58988671,In the Shadow of the Gods: The Emperor in World History,Dominic Lieven,"Lieven, Dominic",,0735222193,9780735222199,4.0,Viking,Hardcover,528,2022,,2022/09/26,2022/09/23,,,read,,,,1,0
91017,Rubicon: The Last Years of the Roman Republic,Tom Holland,"Holland, Tom",,1400078970,9781400078974,5.0,Anchor Books,Paperback,408,2005,2003,2022/09/25,2022/09/23,,,read,,,,1,0
25526965,"End of Watch (Bill Hodges Trilogy, #3)",Stephen  King,"King, Stephen",,1501129740,9781501129742,4.0,Scribner,Hardcover,432,2016,2016,2022/06/21,2022/06/12,,,read,,,,1,0
36130437,Memory's Legion,James S.A. Corey,"Corey, James S.A.",,,,4.0,,Paperback,423,2022,2022,2022/06/12,2022/05/27,,,read,,,,1,0
23492589,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen  King,"King, Stephen",,1501100076,9781501100079,5.0,Scribner,Hardcover,434,2015,2015,2022/06/07,2022/06/06,,,read,,,,1,0
7669,Timeline,Michael Crichton,"Crichton, Michael",,0099244721,9780099244721,5.0,Arrow Books,Mass Market Paperback,489,2000,1999,2022/05/27,2022/05/25,favorites,favorites (#30),read,,,,1,0
40604658,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,0307763056,9780307763051,5.0,Ballantine Books,Kindle Edition,466,2012,1990,2022/05/19,2022/05/13,,,read,,,,1,0
16902,"Walden or, Life in the Woods",Henry David Thoreau,"Thoreau, Henry David",Bill McKibben,,,5.0,Princeton University Press,Paperback,352,2004,1854,2022/05/13,2022/04/30,favorites,favorites (#29),read,,,,1,0
40718726,Genghis Khan and the Making of the Modern World,Jack Weatherford,"Weatherford, Jack",,,,5.0,Broadway Books,Kindle Edition,352,2018,2004,2022/05/08,2022/04/30,,,read,,,,1,0
153025,Heart-Shaped Box,Joe  Hill,"Hill, Joe",,0061147931,9780061147937,5.0,William Morrow,Hardcover,376,2007,2007,2022/04/23,2021/01/20,,,read,,,,1,0
35820656,"Only Human (Themis Files, #3)",Sylvain Neuvel,"Neuvel, Sylvain",,0399180117,9780399180118,3.0,Del Rey Books,Hardcover,336,2018,2018,2022/04/18,2022/04/18,,,read,,,,1,0
30134847,"Waking Gods (Themis Files, #2)",Sylvain Neuvel,"Neuvel, Sylvain",,1101886722,9781101886724,4.0, Del Rey,Hardcover,336,2017,2017,2022/04/13,2022/04/11,,,read,,,,1,0
25733990,"Sleeping Giants (Themis Files, #1)",Sylvain Neuvel,"Neuvel, Sylvain",,1101886692,9781101886694,5.0,Del Rey,Hardcover,320,2016,2016,2022/04/11,2022/03/29,,,read,,,,1,0
8675283,Vanished Kingdoms: The History of Half-Forgotten Europe,Norman Davies,"Davies, Norman",,1846143381,9781846143380,4.0,Allen Lane,Hardcover,789,2011,2011,2022/03/29,2022/03/08,,,read,,,,1,0
8617614,Babylon: Mesopotamia and the Birth of Civilization,Paul Kriwaczek,"Kriwaczek, Paul",,1848871562,9781848871564,4.0,Atlantic Books,Hardcover,310,2010,2010,2022/03/12,2022/02/27,,,read,,,,1,0
